"TickerNo se encontraron coincidencias  (i)","Precio","Vol.","Volumen*Precio","Fecha reciente de beneficios","Próxima fecha de beneficios","Capitalización de mercado","Cambio a partir del porcentaje de apertura","Cambio %","Rating técnico","Valoración de medias móviles","Valoración de los osciladores","Vol relativo","Patrón","Gross Profit (Annual YoY Growth)","Gross Profit (Quarterly QoQ Growth)","Gross Profit (Quarterly YoY Growth)","Gross Profit (TTM YoY Growth)","Margen bruto","Margen neto","Ingresos","Ingresos","Ingresos anuales","BPA (TTM)","Previsión BPA","EBITDA (TTM YoY Growth)","RSI14","Nivel MACD","Volatilidad S","Volatilidad","Rendimiento trimestral","Rendimiento anual","Rendimiento semestral","Rendimiento mensual","Rendimiento semanal","Rend. YTD"
"PE_OLESDINDUSTRIAS PENOLES S.A.B. DE C.V. https://s3-symbol-logo.tradingview.com/industrias-penoles-sab-de-cv.svg","237.35MXN","372.988K","88.529M","2022-10-28","2023-02-28","89.337BMXN","4.45%","5.60%","Strong Buy","Strong Buy","Neutro","1.16","—","19.30%","−59.42%","−63.02%","−38.73%","17.23%","1.59%","7.94BMXN","120.936BMXN","120.936BMXN","4.54MXN","3.87MXN","−36.18%","65.93 N","6.24313524 B","6.72%","8.00%","20.48%","−11.18%","10.91%","28.56%","11.28%","1.00%"
"OMA/BDGRUPO AEROPORTUARIO DEL CENTRO NORT https://s3-symbol-logo.tradingview.com/grupo-aeroportuario-del-centro-nort.svg","159.19MXN","1.168M","185.881M","2022-10-24","2023-02-13","61.575BMXN","0.86%","0.86%","Buy","Strong Buy","Neutro","1.14","—","108.06%","22.82%","42.21%","58.72%","56.99%","34.56%","2.857BMXN","8.72BMXN","8.72BMXN","9.75MXN","2.53MXN","59.96%","79.79 N","6.07995827 B","2.55%","1.62%","20.60%","26.89%","9.66%","22.78%","4.96%","12.58%"
"GOOGDALPHABET INC. (GOOGLE) CLASE C https://s3-symbol-logo.tradingview.com/alphabet.svg","1791.93MXN","8.737K","15.656M","2022-10-25","2023-01-31","24.299TMXN","−4.94%","−4.52%","Sell","Strong Sell","Neutro","1.14","—","54.73%","−4.75%","−2.73%","13.18%","55.87%","23.87%","1.562TMXN","5.288TMXN","5.288TMXN","102.61MXN","23.83MXN","5.62%","31.60 N","−53.97079595 S","4.38%","5.60%","−25.47%","−40.99%","−24.23%","−9.98%","−13.43%","−39.91%"
"FIBRAMQ/12DCIBANCO SA INSTIT DE BANCA MULTIPLE REIT https://s3-symbol-logo.tradingview.com/cibanco-sa-instit-de-banca-multiple.svg","26.34MXN","1.106M","29.131M","2022-10-25","2023-02-23","20.06BMXN","−0.34%","−0.04%","Buy","Strong Buy","Neutro","1.13","—","−27.66%","452.36%","9755.97%","357.53%","84.63%","201.61%","7.792BMXN","4.519BMXN","4.519BMXN","10.73MXN","0.70MXN","314.29%","57.45 N","0.44994885 B","3.77%","2.15%","1.04%","7.16%","18.33%","5.49%","3.74%","0.00%"
"KIMBER/ADKIMBERLY-CLARK DE MEXICO SAB DE CV https://s3-symbol-logo.tradingview.com/kimberly-clark.svg","31.53MXN","6.198M","195.415M","2022-10-20","2023-01-19","100.331BMXN","0.80%","0.86%","Buy","Strong Buy","Sell","1.11","—","−12.43%","2.15%","18.13%","−5.70%","31.37%","8.61%","4.494BMXN","46.894BMXN","46.894BMXN","1.40MXN","0.46MXN","−11.06%","74.18 N","1.05623272 B","3.43%","3.55%","9.40%","−4.08%","15.66%","19.07%","9.59%","2.07%"
"GFINBUR/ODGRUPO FINANCIERO INBURSA SAB DE CV https://s3-symbol-logo.tradingview.com/grupo-financiero-inbursa-sab-de-cv.svg","37.86MXN","1.75M","66.263M","2022-07-26","2022-11-01","224.2BMXN","3.73%","3.53%","Strong Buy","Strong Buy","Buy","1.09","—","—","—","—","—","—","29.78%","20.892BMXN","67.646BMXN","67.646BMXN","3.60MXN","0.79MXN","—","61.63 N","0.84909786 B","4.34%","5.09%","4.18%","81.15%","11.55%","17.61%","3.56%","52.85%"
"ROKUDROKU INC https://s3-symbol-logo.tradingview.com/roku.svg","1094.71MXN","1.613K","1.766M","2022-07-28","2022-11-02","152.062BMXN","−4.66%","−0.81%","Sell","Sell","Neutro","1.08","","72.45%","−2.39%","4.10%","22.92%","45.81%","−1.51%","4.978BMXN","56.777BMXN","56.777BMXN","−6.51MXN","−26.11MXN","−84.97%","46.76 N","−45.89396987 B","2.59%","4.89%","−29.83%","−83.16%","−47.01%","−6.03%","5.26%","−76.60%"
"MRODMARATHON OIL CORPORATION https://s3-symbol-logo.tradingview.com/marathon-oil.svg","600.00MXN","296.061K","177.637M","2022-08-03","2022-11-02","409.552BMXN","0.00%","0.37%","Buy","Strong Buy","Buy","1.08","—","499.93%","40.04%","242.72%","570.51%","52.20%","43.71%","19.428BMXN","115.029BMXN","115.029BMXN","85.24MXN","23.67MXN","116.84%","69.05 N","23.54446695 B","0.41%","0.37%","27.11%","81.82%","9.87%","32.27%","2.56%","74.42%"
"F 			 				FSHOP/13DCIBANCO SA INSTIT DE BANCA MULTIPLE REIT","6.37MXN","21.097K","134.388K","2022-08-12","2022-11-01","3.081BMXN","1.92%","1.59%","Buy","Strong Buy","Neutro","1.07","—","−25.30%","6.64%","−5.65%","5.21%","73.85%","64.29%","985.911MMXN","1.426BMXN","1.426BMXN","1.96MXN","—","194.64%","51.30 N","0.00917483 S","2.55%","2.24%","0.79%","2.58%","3.75%","1.11%","−0.47%","−4.21%"
"TERRA/13DCIBANCO SA INSTIT DE BANCA MULTIPLE REIT https://s3-symbol-logo.tradingview.com/cibanco-sa-instit-de-banca-multiple.svg","27.65MXN","1.572M","43.453M","2022-10-27","2023-02-23","21.444BMXN","−1.07%","−0.40%","Buy","Strong Buy","Neutro","1.05","—","—","−7.92%","−0.36%","—","—","—","—","—","—","—","0.73MXN","—","55.00 N","0.2708768 B","2.34%","1.41%","−2.50%","−4.42%","2.94%","3.02%","1.47%","−4.66%"
"NIO/NDNIO INC https://s3-symbol-logo.tradingview.com/nio.svg","191.44MXN","66.603K","12.75M","2022-09-07","2022-11-10","288.436BMXN","−6.48%","−0.61%","Sell","Strong Sell","Neutro","1.04","—","435.10%","−9.94%","−15.90%","37.16%","16.25%","−24.03%","−33.666BMXN","115.072BMXN","115.072BMXN","−18.63MXN","−3.34MXN","—","28.15 N","−38.29820316 B","7.52%","7.69%","−54.33%","−76.07%","−44.67%","−39.23%","0.87%","−71.95%"
"GMEDGAMESTOP CORPORATION https://s3-symbol-logo.tradingview.com/gamestop.svg","565.00MXN","866","489.29K","2022-09-07","2022-12-13","171.131BMXN","0.00%","−0.10%","Neutro","Buy","Neutro","1.01","","3.29%","−5.87%","−9.69%","−4.64%","21.06%","−8.57%","−7.873BMXN","124.111BMXN","124.111BMXN","−56.75MXN","−5.49MXN","−454.05%","57.29 N","0.38704477 B","8.69%","3.49%","−24.67%","−40.99%","−7.64%","11.21%","9.71%","−29.81%"
"LIVEPOL/C-1DEL PUERTO DE LIVERPOOL SAB DE CV https://s3-symbol-logo.tradingview.com/el-puerto-de-liverpool-sab-de-cv.svg","98.79MXN","528.119K","52.173M","2022-10-18","2023-02-21","140.251BMXN","−2.54%","−2.73%","Buy","Strong Buy","Neutro","1.01","—","41.49%","−10.60%","20.20%","30.11%","35.90%","9.87%","12.868BMXN","151.022BMXN","151.022BMXN","12.44MXN","4.72MXN","40.35%","65.41 N","2.15752178 B","3.36%","3.76%","8.41%","7.38%","−5.46%","11.99%","3.88%","11.55%"
"METADMETA PLATFORMS INC https://s3-symbol-logo.tradingview.com/meta-platforms.svg","1887.59MXN","12.861K","24.276M","2022-10-26","2023-02-01","4.963TMXN","1.59%","1.89%","Sell","Strong Sell","Buy","1.00","—","41.77%","−6.79%","−7.58%","1.97%","80.31%","24.41%","808.552BMXN","2.422TMXN","2.422TMXN","213.12MXN","46.09MXN","−22.52%","23.62 B","−233.16489625 S","4.99%","4.28%","−43.74%","−50.97%","−50.97%","−31.36%","−28.88%","−50.97%"
"NVDADNVIDIA CORP https://s3-symbol-logo.tradingview.com/nvidia.svg","2676.35MXN","19.904K","53.27M","2022-08-24","2022-11-16","6.671TMXN","0.12%","−0.01%","Neutro","Buy","Neutro","0.97","","71.62%","−46.56%","−28.98%","32.23%","60.45%","26.03%","201.363BMXN","555.73BMXN","555.73BMXN","63.10MXN","14.14MXN","31.29%","55.95 N","3.09858196 B","3.81%","2.25%","−30.03%","−49.50%","−31.99%","8.49%","4.95%","−56.34%"
"GRUMA/BDGRUMA SAB DE CV https://s3-symbol-logo.tradingview.com/gruma-sab-de-cv.svg","228.87MXN","663.323K","151.815M","2022-10-19","2023-02-22","85.151BMXN","−0.49%","−0.42%","Buy","Strong Buy","Neutro","0.93","—","−2.72%","10.92%","20.22%","15.58%","35.19%","5.58%","6.156BMXN","94.25BMXN","94.25BMXN","16.01MXN","4.55MXN","9.44%","64.19 N","4.82396783 B","2.84%","3.10%","−8.67%","−6.26%","−6.25%","11.56%","5.69%","−12.54%"
"CHDRAUI/BDGRUPO COMERCIAL CHEDRAUI SAB DE CV https://s3-symbol-logo.tradingview.com/grupo-comercial-chedraui-sab-de-cv.svg","80.15MXN","746.103K","59.8M","2022-10-25","2023-02-28","76.502BMXN","0.19%","0.36%","Buy","Strong Buy","Neutro","0.90","","28.70%","3.75%","26.82%","56.21%","19.63%","2.66%","3.42BMXN","188.487BMXN","188.487BMXN","7.10MXN","1.12MXN","68.68%","88.86 N","5.02718887 B","4.39%","2.20%","34.82%","97.41%","55.69%","38.17%","13.05%","87.49%"
"CCL1/NDCARNIVAL CORP https://s3-symbol-logo.tradingview.com/carnival.svg","178.69MXN","2.637K","471.206K","2022-09-30","2022-12-21","223.364BMXN","−2.36%","0.38%","Neutro","Buy","Sell","0.89","—","−59.78%","141.40%","130.01%","43.56%","−25.82%","−73.99%","−203.853BMXN","40.938BMXN","40.938BMXN","−125.63MXN","−16.16MXN","36.14%","58.03 N","1.10873815 B","2.78%","3.91%","−8.36%","−60.81%","−47.90%","−3.50%","4.93%","−58.66%"
"NEMAK/ADNEMAK SAB DE CV https://s3-symbol-logo.tradingview.com/nemak-sab-de-cv.svg","5.47MXN","2.935M","16.056M","2022-10-17","2023-02-15","16.618BMXN","0.00%","0.55%","Strong Buy","Strong Buy","Neutro","0.87","","20.82%","16.57%","74.19%","−6.05%","10.69%","0.06%","85MMXN","77.078BMXN","77.078BMXN","0.02MXN","0.11MXN","−10.10%","71.99 N","0.22263668 B","2.77%","2.62%","10.51%","14.68%","25.17%","29.62%","4.19%","−10.47%"
"QCOMDQUALCOMM INC https://s3-symbol-logo.tradingview.com/qualcomm.svg","2322.48MXN","1.204K","2.796M","2022-07-27","2022-11-02","2.623TMXN","0.00%","−0.96%","Sell","Strong Sell","Neutro","0.87","—","26.49%","−4.89%","32.94%","26.84%","57.99%","30.52%","186.739BMXN","693.14BMXN","693.14BMXN","230.26MXN","63.09MXN","34.51%","46.53 N","−39.7821458 B","0.42%","0.97%","−24.18%","−16.70%","−20.46%","0.41%","−1.59%","−38.56%"
"KOF/UBLDCOCA-COLA FEMSA S.A.B. DE C.V. https://s3-symbol-logo.tradingview.com/coca-cola.svg","127.19MXN","737.702K","93.828M","2022-10-24","2023-02-23","65.551BMXN","2.04%","1.91%","Strong Buy","Strong Buy","Buy","0.85","—","5.74%","0.48%","16.39%","12.77%","44.43%","8.09%","15.708BMXN","194.804BMXN","194.804BMXN","8.43MXN","2.21MXN","9.52%","64.46 N","1.06108695 B","2.07%","2.48%","3.39%","13.32%","13.06%","8.89%","4.25%","12.83%"
"CUERVODBECLE SAB DE CV https://s3-symbol-logo.tradingview.com/becle.svg","42.72MXN","1.684M","71.92M","2022-10-27","2023-03-01","150.506BMXN","1.93%","1.93%","Buy","Strong Buy","Neutro","0.82","—","16.70%","4.95%","22.77%","27.42%","54.22%","13.41%","5.02BMXN","39.419BMXN","39.419BMXN","1.68MXN","0.50MXN","152.26%","73.43 N","0.81014517 B","3.45%","2.67%","−5.70%","−9.45%","−15.09%","19.33%","11.34%","−16.79%"
"NU/NDNU HOLDINGS LTD https://s3-symbol-logo.tradingview.com/nu-holdings.svg","101.00MXN","4.721K","476.821K","2022-08-15","2022-11-14","456.726BMXN","1.76%","1.76%","Strong Buy","Strong Buy","Buy","0.81","—","127.47%","20.78%","108.93%","130.03%","54.09%","−7.10%","−3.389BMXN","28.449BMXN","28.449BMXN","−1.10MXN","0.13MXN","−73.27%","60.72 N","0.23907633 B","4.91%","2.53%","16.23%","−34.42%","−13.68%","12.22%","16.11%","−34.42%"
"ALPEK/ADALPEK SAB DE CV https://s3-symbol-logo.tradingview.com/alpek-sab-de-cv.svg","28.38MXN","1.085M","30.792M","2022-10-20","2023-02-15","58.511BMXN","1.68%","2.20%","Strong Buy","Strong Buy","Buy","0.80","—","112.15%","−36.53%","14.18%","51.76%","16.20%","6.52%","7.756BMXN","156.224BMXN","156.224BMXN","6.45MXN","1.64MXN","49.02%","61.10 N","0.24841628 B","2.32%","2.70%","4.57%","24.80%","3.20%","13.07%","1.36%","27.38%"
"VOLAR/ADCONTROLADORA VUELA CIA DE AVIACION https://s3-symbol-logo.tradingview.com/controladora-vuela-cia-de-aviacion.svg","16.87MXN","1.464M","24.696M","2022-10-25","2023-02-23","18.487BMXN","−0.06%","0.18%","Buy","Buy","Neutro","0.79","","2115.44%","318.17%","−57.04%","2211.10%","12.10%","−2.50%","2.121BMXN","45.097BMXN","45.097BMXN","−1.20MXN","0.22MXN","229.30%","54.63 N","0.02526046 B","3.98%","3.95%","−12.04%","−55.39%","−47.08%","14.14%","−2.49%","−54.07%"
"F 			 				FUNO/11DBANCO ACTINVER SA REIT","23.33MXN","3.809M","88.861M","2022-10-26","2023-02-23","88.591BMXN","0.86%","0.91%","Buy","Strong Buy","Neutro","0.77","—","3.06%","−1.15%","7.90%","10.58%","80.94%","40.76%","3.66BMXN","21.851BMXN","21.851BMXN","2.46MXN","0.68MXN","37.25%","69.17 N","0.45853613 B","2.49%","2.14%","9.48%","14.03%","2.78%","12.06%","5.33%","7.46%"
"AMX/LDAMERICA MOVIL SAB DE CV https://s3-symbol-logo.tradingview.com/america-movil.svg","18.93MXN","68.013M","1.287B","2022-10-18","2023-02-14","1.191TMXN","1.07%","0.96%","Buy","Strong Buy","Neutro","0.76","—","2.84%","0.20%","−7.32%","−3.65%","41.73%","9.41%","85.896BMXN","855.535BMXN","855.535BMXN","1.37MXN","0.34MXN","−0.38%","69.53 N","0.370023 B","2.84%","2.82%","1.39%","2.60%","−4.44%","10.83%","7.86%","−13.17%"
"RIOTDRIOT BLOCKCHAIN INC https://s3-symbol-logo.tradingview.com/riot-blockchain.svg","129.00MXN","12.148K","1.567M","2022-08-15","2022-11-14","22.859BMXN","−3.01%","−5.52%","Sell","Strong Sell","Neutro","0.72","—","7987.15%","−79.50%","−73.78%","241.74%","32.55%","−118.50%","−162.778MMXN","4.379BMXN","4.379BMXN","−57.01MXN","0.28MXN","89.63%","47.78 N","−0.94599837 B","6.91%","5.84%","−22.29%","−77.70%","−44.77%","−11.03%","2.38%","−72.32%"
"BBBYDBED BATH AND BEYOND https://s3-symbol-logo.tradingview.com/bed-bath-and-beyond.svg","87.47MXN","8.563K","749.006K","2022-09-29","2023-01-05","7.29BMXN","−3.36%","−4.52%","Sell","Strong Sell","Neutro","0.70","—","−17.63%","16.79%","−40.65%","−35.45%","29.46%","−16.98%","−11.46BMXN","161.116BMXN","161.116BMXN","−275.39MXN","−36.12MXN","−187.53%","36.57 N","−13.19206928 B","8.32%","4.82%","−28.89%","−71.32%","−66.99%","−28.60%","−0.18%","−71.96%"
"MEGA/CPODMEGACABLE HOLDINGS SAB DE CV https://s3-symbol-logo.tradingview.com/megacable-sab-de-cv.svg","41.95MXN","1.265M","53.074M","2022-10-27","2023-02-23","35.526BMXN","1.13%","0.82%","Sell","Strong Sell","Neutro","0.69","—","8.87%","0.46%","8.52%","9.88%","73.43%","15.60%","3.469BMXN","24.634BMXN","24.634BMXN","4.81MXN","1.19MXN","8.01%","48.20 N","−0.20999008 B","3.38%","3.02%","−9.73%","−31.60%","−27.14%","2.02%","1.26%","−39.88%"
"HOMEXDDESARROLLADORA HOMEX https://s3-symbol-logo.tradingview.com/desarrolladora-homex-sab-de-cv.svg","0.031MXN","2.849M","88.322K","—","2022-10-31","167.079MMXN","3.33%","3.33%","Buy","Buy","Buy","0.69","—","18.41%","2.74%","51.20%","90.23%","15.62%","0.28%","247.269MMXN","1.082BMXN","1.082BMXN","−0.00MXN","—","87.78%","64.69 N","−0.00003571 B","9.77%","13.79%","−3.13%","−41.51%","−22.50%","10.71%","19.23%","−42.59%"
"HCITYDHOTELES CITY https://s3-symbol-logo.tradingview.com/hoteles-city-express-sab-de-cv.svg","5.38MXN","1.225M","6.592M","2022-10-19","2023-02-15","2.221BMXN","−1.28%","−1.10%","Buy","Strong Buy","Neutro","0.67","—","288.02%","21.21%","88.19%","398.79%","27.28%","−4.34%","−396.345MMXN","2.274BMXN","2.274BMXN","−0.11MXN","−0.02MXN","263.70%","72.68 S","0.4849455 B","2.60%","2.80%","39.38%","−13.92%","9.80%","45.80%","−2.18%","11.85%"
"WALMEXDWALMART DE MÉXICO Y CENTROAMÉRICA https://s3-symbol-logo.tradingview.com/walmart.svg","78.89MXN","11.701M","923.08M","2022-10-19","2023-02-15","1.336TMXN","2.92%","3.08%","Strong Buy","Strong Buy","Buy","0.67","—","6.52%","2.44%","12.59%","11.27%","23.31%","5.96%","44.138BMXN","736.044BMXN","736.044BMXN","2.72MXN","0.86MXN","6.90%","68.63 N","1.24890121 B","2.73%","3.42%","12.17%","9.30%","9.28%","8.16%","5.61%","3.14%"
"TSLADTESLA INC https://s3-symbol-logo.tradingview.com/tesla.svg","4496.45MXN","3.675K","16.524M","2022-10-19","2023-01-25","14.262TMXN","−0.85%","−0.62%","Sell","Sell","Neutro","0.66","","111.52%","27.27%","43.57%","79.69%","26.61%","14.94%","113.448BMXN","1.105TMXN","1.105TMXN","72.62MXN","25.86MXN","120.40%","42.62 N","−210.60847847 B","4.50%","3.96%","−28.34%","−42.99%","−29.30%","−17.65%","6.81%","−42.25%"
"GISSA/ADGRUPO INDUSTRIAL SALTILLO SAB DE CV https://s3-symbol-logo.tradingview.com/grupo-industrial-saltillo-sab-de-cv.svg","31.78MXN","28.727K","912.944K","2022-10-20","2023-02-23","9.595BMXN","2.88%","2.88%","Buy","Strong Buy","Neutro","0.66","—","4.81%","13.18%","14.67%","−39.75%","14.13%","1.31%","377.29MMXN","20.222BMXN","20.222BMXN","1.09MXN","—","—","53.86 N","−0.02775784 S","3.77%","3.56%","6.00%","7.73%","38.17%","0.89%","1.08%","9.59%"
"MARADMARATHON DIGITAL HOLDINGS INC https://s3-symbol-logo.tradingview.com/marathon-patent.svg","241.50MXN","13.254K","3.201M","2022-08-08","2022-11-08","30.398BMXN","−7.82%","−6.76%","Sell","Sell","Neutro","0.65","","−564.20%","−211.35%","−191.31%","32.59%","−11.45%","−114.11%","−742.925MMXN","3.09BMXN","3.09BMXN","−39.96MXN","−2.68MXN","139.08%","49.40 N","8.13836883 B","7.43%","8.49%","−10.56%","−78.14%","−28.39%","12.33%","−7.12%","−65.33%"
"FEMSA/UBDDFOMENTO ECONOMICO MEXICANO SAB DE C https://s3-symbol-logo.tradingview.com/femsa.svg","145.86MXN","2.267M","330.729M","2022-10-28","2023-02-27","307.384BMXN","1.82%","2.55%","Strong Buy","Strong Buy","Buy","0.64","—","12.69%","0.89%","—","36.62%","37.46%","4.18%","28.495BMXN","556.261BMXN","556.261BMXN","7.45MXN","2.68MXN","—","73.57 N","3.79688401 B","3.36%","4.29%","16.04%","−15.15%","0.28%","18.23%","7.20%","−8.83%"
"PINFRADPROMOTORA Y OPERADORA DE INFRSTRCTR https://s3-symbol-logo.tradingview.com/promotora-y-operadora-de-infrstrctr.svg","151.14MXN","358.817K","54.232M","2022-10-26","2023-02-23","61.205BMXN","0.67%","1.41%","Buy","Strong Buy","Neutro","0.64","—","32.92%","7.87%","20.69%","21.91%","58.68%","41.63%","5.605BMXN","12.42BMXN","12.42BMXN","15.07MXN","3.73MXN","22.07%","76.98 N","2.59756485 B","2.15%","1.75%","3.46%","−1.53%","2.97%","8.43%","7.03%","−5.54%"
"ELEKTRADGRUPO ELEKTRA https://s3-symbol-logo.tradingview.com/grupo-elektra-sab-de-cv.svg","986.14MXN","43.485K","42.882M","—","2023-02-22","225.902BMXN","−1.39%","−0.80%","Strong Sell","Strong Sell","Neutro","0.62","—","30.10%","1.53%","15.43%","20.71%","48.27%","−4.24%","12.944BMXN","146.019BMXN","146.019BMXN","−30.85MXN","—","−92.87%","38.34 N","−7.51103108 B","3.07%","2.67%","−15.84%","−37.63%","−15.21%","−6.99%","−3.78%","−36.17%"
"SPCEDVIRGIN GALACTIC HLDGS INC https://s3-symbol-logo.tradingview.com/virgin-galactic.svg","94.60MXN","1.915K","181.159K","2022-08-04","2022-11-03","23.726BMXN","3.39%","2.84%","Neutro","Sell","Buy","0.62","","9.85%","−6.10%","−13.31%","19.77%","−250.49%","−9801.09%","−7.248BMXN","67.609MMXN","67.609MMXN","−26.01MXN","−8.24MXN","−21.16%","47.14 N","−3.76637378 B","3.60%","5.02%","−42.32%","−75.49%","−41.25%","−4.44%","6.17%","−65.63%"
"JPMDJPMORGAN CHASE & CO. https://s3-symbol-logo.tradingview.com/jpmorgan-chase.svg","2527.17MXN","2.823K","7.134M","2022-10-14","2023-01-13","7.328TMXN","1.09%","0.76%","Buy","Strong Buy","Neutro","0.62","—","—","—","—","—","—","26.65%","987.904BMXN","2.592TMXN","2.592TMXN","239.14MXN","61.58MXN","—","70.68 N","73.10572035 B","1.09%","1.45%","8.35%","−28.81%","1.48%","17.82%","4.13%","−23.35%"
"BOLSA/ADBOLSA MEXICANA DE VALORES SAB DE CV https://s3-symbol-logo.tradingview.com/bolsa-mexicana-de-valores-sab-de-cv.svg","36.28MXN","959.242K","34.801M","2022-10-18","2023-02-21","20.97BMXN","−0.06%","0.55%","Buy","Strong Buy","Buy","0.61","","—","—","—","—","—","42.57%","1.597BMXN","3.924BMXN","3.924BMXN","3.04MXN","0.68MXN","22.22%","57.88 N","0.23338891 B","2.48%","1.58%","−4.35%","−8.73%","−12.13%","6.83%","0.28%","−7.50%"
"VDVISA INC https://s3-symbol-logo.tradingview.com/visa.svg","4084.00MXN","1.087K","4.439M","2022-10-25","2023-02-02","8.506TMXN","0.53%","0.10%","Buy","Strong Buy","Neutro","0.61","—","20.99%","7.94%","14.84%","20.99%","77.50%","50.19%","301.552BMXN","590.927BMXN","590.927BMXN","142.83MXN","39.78MXN","20.83%","61.71 N","72.13724745 B","2.03%","1.95%","−5.46%","−8.08%","−3.07%","11.89%","5.91%","−10.04%"
"JNJDJOHNSON & JOHNSON https://s3-symbol-logo.tradingview.com/johnson-and-johnson.svg","3378.00MXN","258","871.524K","2022-10-18","2023-01-24","9.029TMXN","−0.44%","−1.97%","Neutro","Neutro","Neutro","0.61","—","20.65%","−0.13%","−2.77%","2.21%","67.45%","19.93%","428.777BMXN","1.926TMXN","1.926TMXN","146.92MXN","44.30MXN","−4.83%","53.05 N","30.7451521 B","0.16%","2.38%","−5.84%","0.54%","−5.44%","1.39%","−0.30%","−3.21%"
"AXTEL/CPODAXTEL SAB DE CV https://s3-symbol-logo.tradingview.com/axtel-sab-de-cv.svg","1.43MXN","125.066K","178.844K","2022-10-20","2023-02-14","3.896BMXN","0.70%","2.88%","Buy","Buy","Neutro","0.60","—","−8.50%","16.94%","9.44%","−9.31%","49.35%","−6.85%","−796.742MMXN","11.389BMXN","11.389BMXN","−0.26MXN","0.03MXN","−24.14%","51.56 N","0.00018045 S","3.56%","3.57%","2.88%","−69.44%","−33.80%","2.88%","0.00%","−63.05%"
"LMNDDLEMONADE INC https://s3-symbol-logo.tradingview.com/lemonade.svg","479.50MXN","300","143.85K","2022-08-08","2022-11-08","33.119BMXN","−1.13%","0.52%","Buy","Strong Buy","Neutro","0.59","","—","—","—","—","—","−240.45%","−4.956BMXN","1.715BMXN","1.715BMXN","−91.21MXN","−26.55MXN","—","57.88 N","3.56068546 B","2.53%","1.67%","5.57%","−63.54%","8.98%","8.98%","4.10%","−46.43%"
"VESTADCORPORACION INMOBILIARIA VESTA SAB https://s3-symbol-logo.tradingview.com/corporacion-inmobiliaria-vesta-sab.svg","43.29MXN","2.346M","101.568M","2022-10-20","2023-02-16","30.066BMXN","0.91%","0.53%","Buy","Strong Buy","Neutro","0.58","—","1.37%","5.08%","12.42%","9.14%","92.42%","121.44%","3.487BMXN","3.263BMXN","3.263BMXN","6.26MXN","0.89MXN","8.26%","71.20 N","1.35638241 B","4.25%","2.64%","9.85%","19.59%","17.44%","15.13%","7.07%","4.97%"
"SPORT/SDGRUPO SPORTS WORLD SAB DE CV https://s3-symbol-logo.tradingview.com/grupo-sports-world-sab-de-cv.svg","2.92MXN","10.42K","30.426K","2022-10-28","2023-02-24","363.189MMXN","−1.35%","−1.68%","Buy","Strong Buy","Sell","0.56","","−15.87%","—","—","—","—","−23.82%","−596.925MMXN","648.846MMXN","648.846MMXN","−2.37MXN","—","908.94%","68.96 N","0.11066896 B","3.35%","2.06%","10.19%","−55.56%","−11.52%","19.18%","10.19%","−46.32%"
"ORBIADORBIA ADVANCE CORP S A B DE CV https://s3-symbol-logo.tradingview.com/orbia-advance-s-a-b-de-cv.svg","34.33MXN","1.721M","59.094M","2022-10-26","2023-02-22","67.235BMXN","2.14%","2.63%","Sell","Sell","Neutro","0.55","—","41.15%","−31.55%","−19.95%","10.80%","27.69%","7.36%","13.333BMXN","178.204BMXN","178.204BMXN","7.66MXN","0.56MXN","8.41%","47.78 N","−0.56215509 B","4.41%","4.01%","−22.22%","−36.59%","−31.12%","−0.81%","0.09%","−34.66%"
"ALSEADALSEA https://s3-symbol-logo.tradingview.com/alsea-sab-de-cv.svg","38.11MXN","664.314K","25.317M","2022-10-27","2023-02-23","31.152BMXN","0.11%","0.32%","Buy","Strong Buy","Neutro","0.54","","145.11%","4.05%","27.30%","48.45%","55.65%","2.84%","835.129MMXN","53.379BMXN","53.379BMXN","2.26MXN","0.69MXN","20.18%","57.59 N","0.2730295 B","2.65%","1.46%","−4.32%","−12.91%","−14.88%","8.45%","3.48%","−0.03%"
"ARADCONSORCIO ARA https://s3-symbol-logo.tradingview.com/consorcio-ara-sab.svg","3.20MXN","245.468K","785.498K","2022-10-20","2023-02-23","3.897BMXN","1.27%","1.59%","Sell","Strong Sell","Neutro","0.53","","20.73%","−2.91%","7.31%","23.40%","24.83%","8.59%","582.912MMXN","6.377BMXN","6.377BMXN","0.47MXN","—","43.10%","48.13 N","0.00281141 B","3.62%","2.54%","−4.48%","−26.77%","−18.58%","−1.23%","−3.61%","−25.93%"
"GMEXICO/BDGRUPO MEXICO SAB DE CV https://s3-symbol-logo.tradingview.com/grupo-mexico-sab-de-cv.svg","73.01MXN","4.553M","332.438M","2022-10-30","2023-02-02","559.197BMXN","0.01%","1.64%","Buy","Buy","Buy","0.52","","67.45%","−4.64%","−42.37%","−14.99%","46.32%","19.24%","80.218BMXN","299.817BMXN","299.817BMXN","—","1.65MXN","−12.24%","56.98 N","−0.30506939 B","7.19%","3.82%","−4.26%","−19.75%","−26.09%","6.66%","17.76%","−17.98%"
